,count,count_no_rt
2016-09-08,95.0,22.0
2016-09-09,145.0,54.0
2016-09-10,144.0,57.0
2016-09-11,104.0,35.0
2016-09-12,145.0,45.0
2016-09-13,135.0,61.0
2016-09-14,114.0,48.0
2016-09-15,230.0,60.0
2016-09-16,237.0,62.0
2016-09-17,603.0,99.0
2016-09-18,409.0,85.0
2016-09-19,1291.0,471.0
2016-09-20,433.0,161.0
2016-09-21,630.0,191.0
2016-09-22,716.0,221.0
2016-09-23,376.0,150.0
2016-09-24,282.0,60.0
2016-09-25,357.0,71.0
2016-09-26,988.0,395.0
2016-09-27,235.0,78.0
2016-09-28,191.0,63.0
2016-09-29,124.0,48.0
2016-09-30,129.0,56.0
2016-10-01,162.0,36.0
2016-10-02,142.0,33.0
2016-10-03,244.0,66.0
2016-10-04,200.0,72.0
2016-10-05,147.0,44.0
2016-10-06,257.0,52.0
2016-10-07,183.0,64.0
2016-10-08,324.0,77.0
2016-10-09,486.0,160.0
2016-10-10,898.0,436.0
2016-10-11,304.0,97.0
2016-10-12,221.0,75.0
2016-10-13,300.0,80.0
2016-10-14,249.0,63.0
2016-10-15,125.0,38.0
2016-10-16,159.0,59.0
2016-10-17,157.0,29.0
2016-10-18,97.0,37.0
2016-10-19,104.0,33.0
2016-10-20,97.0,29.0
2016-10-21,102.0,43.0
2016-10-22,90.0,22.0
2016-10-23,70.0,31.0
2016-10-24,96.0,36.0
2016-10-25,102.0,39.0
2016-10-26,81.0,31.0
2016-10-27,78.0,33.0
2016-10-28,124.0,35.0
2016-10-29,82.0,28.0
2016-10-30,69.0,20.0
2016-10-31,81.0,34.0
2016-11-01,76.0,24.0
2016-11-02,1183.0,236.0
2016-11-03,1497.0,449.0
2016-11-04,784.0,183.0
2016-11-05,370.0,89.0
2016-11-06,323.0,94.0
2016-11-07,383.0,93.0
2016-11-08,271.0,65.0
2016-11-09,241.0,112.0
2016-11-10,950.0,413.0
2016-11-11,376.0,133.0
2016-11-12,296.0,68.0
2016-11-13,248.0,67.0
2016-11-14,406.0,87.0
2016-11-15,202.0,40.0
2016-11-16,250.0,71.0
2016-11-17,991.0,403.0
2016-11-18,464.0,159.0
2016-11-19,167.0,59.0
2016-11-20,771.0,172.0
2016-11-21,1280.0,199.0
2016-11-22,982.0,140.0
2016-11-23,723.0,117.0
2016-11-24,1079.0,375.0
2016-11-25,571.0,128.0
2016-11-26,290.0,80.0
2016-11-27,274.0,55.0
2016-11-28,292.0,78.0
2016-11-29,226.0,59.0
2016-11-30,298.0,79.0
2016-12-01,940.0,350.0
2016-12-02,321.0,100.0
2016-12-03,194.0,56.0
2016-12-04,1546.0,85.0
2016-12-05,542.0,100.0
2016-12-06,193.0,87.0
2016-12-07,191.0,69.0
2016-12-08,73.0,43.0
2016-12-09,593.0,215.0
2016-12-10,278.0,74.0
2016-12-11,226.0,89.0
2016-12-12,346.0,36.0
2016-12-13,216.0,60.0
2016-12-14,245.0,84.0
2016-12-15,573.0,364.0
2016-12-16,560.0,225.0
2016-12-17,358.0,40.0
2016-12-18,116.0,40.0
2016-12-19,115.0,53.0
2016-12-20,96.0,34.0
2016-12-21,152.0,51.0
